Date,Close/Last,Volume,Open,High,Low
6/9/2020,27.16,42276,27.12,27.4099,26.9201
6/8/2020,27.64,25697,27.55,27.8,27.27
6/5/2020,27.32,30192,27.33,27.7699,27.19
6/4/2020,26.72,38285,26.62,26.8889,26.5
6/3/2020,26.72,40896,26.33,26.924,26.2605
6/2/2020,25.6161,27332,25.52,25.75,25.32
6/1/2020,25.295,5524,24.86,25.31,24.835
5/29/2020,24.6266,2995,24.32,24.6266,24.202
5/28/2020,24.6511,7964,24.71,24.96,24.58
5/27/2020,24.455,18244,24.37,24.59,24.1844
5/26/2020,23.8775,6947,24.08,24.22,23.76
5/22/2020,23.0478,1027,22.985,23.13,22.9075
5/21/2020,22.989,4061,23.35,23.41,22.989
5/20/2020,23.325,5196,23.15,23.3838,23.06
5/19/2020,22.9,5193,22.97,23,22.82
5/18/2020,23.11,9596,22.51,23.11,22.5045
5/15/2020,21.41,2013,21.54,21.585,21.41
5/14/2020,21.3917,5277,21.07,21.3917,20.7364
5/13/2020,21.5283,8515,22.01,22.055,21.38
5/12/2020,22.0964,1800,22.4,22.45,22.0007
5/11/2020,22.3544,23841,22.3,22.53,22.0795
5/8/2020,22.568,3597,22.27,22.61,22.27
5/7/2020,22.045,4378,22.09,22.1099,22
5/6/2020,21.7559,7332,22.17,22.17,21.65
5/5/2020,22.07,24247,22.14,22.28,22
5/4/2020,22.09,9521,21.89,22.09,21.5876
5/1/2020,22.1,28750,22.24,22.43,22.0219
4/30/2020,22.73,10841,22.68,22.77,22.3
4/29/2020,22.95,24228,22.78,23.1795,22.6187
4/28/2020,22.1818,36830,22.58,22.64,22.1164
4/27/2020,22.0676,27457,21.85,22.0676,21.8
4/24/2020,21.424,2429,21.3143,21.5,21.2307
4/23/2020,21.3159,19161,21.36,21.8565,21.24
4/22/2020,21.529,4905,21.56,21.626,21.39
4/21/2020,21.3143,18769,21.46,21.69,21.1141
4/20/2020,21.8848,19440,21.8,22.2699,21.8
4/17/2020,22.1628,22513,22.08,22.17,21.802
4/16/2020,21.289,5295,21.55,21.55,21.1136
4/15/2020,21.46,17035,21.52,21.6502,21.27
4/14/2020,22.4325,13747,22.4,22.61,22.2035
4/13/2020,21.7328,14982,22.45,22.45,21.58
4/9/2020,22.2133,10549,22.01,22.3181,21.665
4/8/2020,21.525,21123,21.47,21.57,21.06
4/7/2020,21.29,72092,21.87,21.87,21.28
4/6/2020,20.9429,15185,20.6,21,20.568
4/3/2020,19.5969,168963,19.74,19.74,19.4
4/2/2020,19.7673,2323,20.0978,20.0978,19.5
4/1/2020,19.601,7641,19.77,20.1347,19.53
